46 ('Data Citation ', 'Data Type Registries ')
5 ('Agrisemantics ', 'Data Versioning ')
5 ('Agrisemantics ', 'Array Database Assessment ')
4 ('Storage Service Definitions ', 'WDS/RDA Assessment of Data Fitness for Use ')
4 ('RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ', 'WDS/RDA Assessment of Data Fitness for Use ')
4 ('RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
4 ('RDA / TD', 'WDS/RDA Assessment of Data Fitness for Use ')
4 ('Provenance Patterns ', 'Rice Data Interoperability ')
4 ('PID Kernel Information ', 'Research Data Repository Interoperability ')
4 ('PID Kernel Information ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
4 ('PID Kernel Information ', 'RDA/WDS Publishing Data Workflows ')
4 ('PID Kernel Information ', 'Provenance Patterns ')
4 ('On-Farm Data Sharing (OFDS) ', 'WDS/RDA Assessment of Data Fitness for Use ')
4 ('On-Farm Data Sharing (OFDS) ', 'RDA/WDS Publishing Data Workflows ')
4 ('On-Farm Data Sharing (OFDS) ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
4 ('On-Farm Data Sharing (OFDS) ', 'Persistent Identification of Instruments\n')
4 ('Metadata Standards Catalog ', 'On-Farm Data Sharing (OFDS) ')
4 ('International Materials Resource Registries ', 'RDA/WDS Publishing Data Workflows ')
4 ('International Materials Resource Registries ', 'RDA / TD')
4 ('International Materials Resource Registries ', 'Provenance Patterns ')
4 ('International Materials Resource Registries ', 'On-Farm Data Sharing (OFDS) ')
4 ('Fisheries Data Interoperability ', 'Storage Service Definitions ')
4 ('Fisheries Data Interoperability ', 'Research Data Collections ')
4 ('Fisheries Data Interoperability ', 'Persistent Identification of Instruments\n')
4 ('Fisheries Data Interoperability ', 'International Materials Resource Registries ')
4 ('Exposing Data Management Plans ', 'WDS/RDA Assessment of Data Fitness for Use ')
4 ('Exposing Data Management Plans ', 'RDA / TD')
4 ('Empirical Humanities Metadata Working Group\n', 'WDS/RDA Assessment of Data Fitness for Use ')
4 ('Empirical Humanities Metadata Working Group\n', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
4 ('Empirical Humanities Metadata Working Group\n', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
4 ('Empirical Humanities Metadata Working Group\n', 'Persistent Identification of Instruments\n')
4 ('Data Versioning ', 'On-Farm Data Sharing (OFDS) ')
4 ('Data Versioning ', 'International Materials Resource Registries ')
4 ('Data Versioning ', 'Fisheries Data Interoperability ')
